"golden globes",2032,1358147334,0.06,0.73,0.00980209475473846
"jodie foster",837,1358147334,0.08,0.22,0.00873405443183433
"justin timberlake",710,1358147334,0.07,0.21,0.0164655585876396
"golden globe",469,1358147334,0.02,0.13,0.00481960870533786
"golden globes",1992,1358147635,0.06,0.74,0.00983382273266944
"jodie foster",746,1358147635,0.08,0.23,0.00881209915524792
"justin timberlake",691,1358147635,0.07,0.21,0.016487241299612
"golden globe",421,1358147635,0.02,0.13,0.00484396890252114
"golden globes",1988,1358147938,0.06,0.75,0.00986161448991537
"jodie foster",685,1358147938,0.08,0.23,0.00887380480751446
"justin timberlake",688,1358147938,0.07,0.22,0.016506181321015
"golden globe",411,1358147938,0.02,0.15,0.00486019157331455
"golden globes",1968,1358148239,0.06,0.71,0.00988805407003454
"jodie foster",758,1358148239,0.08,0.39,0.00891627835026099
"justin timberlake",646,1358148239,0.07,0.2,0.0165310431222726
"jodie foster reveals she's gay",408,1358148239,0.01,0.12,0.00408068078866789
"golden globes",1939,1358148541,0.06,0.64,0.00991222610024431
"jodie foster",795,1358148541,0.08,0.41,0.00895623781435772
"justin timberlake",597,1358148541,0.07,0.18,0.016555859056898
"jodie foster reveals she's gay",425,1358148541,0.01,0.09,0.0040839622362924
"golden globes",1864,1358148843,0.06,0.61,0.00994175383595787
"jodie foster",845,1358148843,0.08,0.42,0.00899513860966836
"justin timberlake",560,1358148843,0.07,0.18,0.0165786678706549
"jodie foster reveals she's gay",415,1358148843,0.01,0.08,0.0050287007175628
"golden globes",1849,1358149146,0.06,0.62,0.00996567851472578
"jodie foster",845,1358149146,0.09,0.33,0.00902932373623012
"justin timberlake",538,1358149146,0.07,0.17,0.0165962481590579
"golden globes",1820,1358149448,0.06,0.57,0.00998759420381214
"jodie foster",871,1358149448,0.09,0.32,0.00905975718028254
"justin timberlake",504,1358149448,0.07,0.16,0.0166167900492089
"golden globes",1765,1358149751,0.06,0.55,0.0100133591213148
"jodie foster",894,1358149751,0.09,0.32,0.00909505448733235
"justin timberlake",509,1358149751,0.07,0.18,0.0166308492476232
"golden globes",1712,1358150053,0.06,0.57,0.0100411108867228
"jodie foster",918,1358150053,0.09,0.3,0.00912302169441938
"golden globe",408,1358150053,0.02,0.2,0.00494766172987154
"justin timberlake",492,1358150053,0.07,0.17,0.0166471231237751
"golden globes",1675,1358150355,0.06,0.61,0.0100679871701963
"jodie foster",913,1358150355,0.09,0.26,0.00915761585621581
"red carpet",426,1358150355,0.1,0.23,0.0166672773252264
"golden globe",415,1358150355,0.02,0.18,0.00495935035996415
"justin timberlake",487,1358150355,0.07,0.17,0.0166619239094648
"golden globes",1638,1358150657,0.07,0.62,0.01009445350106
"red carpet",501,1358150657,0.1,0.3,0.0166701118688792
