"arizona cardinals",2164,1358394245
"reagan mauia",2136,1358394245
"was real",1931,1358394245
"met her",1931,1358394245
"manti te'o",1788,1358394245
"have a complicated relationship with sleep",573,1358394245
"or tech",573,1358394245
"notre dame",804,1358394245
"heartbreaking and inspirational",1021,1358394245
"the college football",1021,1358394245
"capturan a sujeto que golpeó al cura de caricuao",350,1358394245
"10 things you never knew about mega man",158,1358394245
"a hoax",661,1358394245
"luol deng",208,1358394245
"air jordan v",286,1358394245
"irish sports report",120,1358394245
"wednesday edition",223,1358394245
"ecuador venció a perú y espera un milagro",155,1358394245
"manti te’o",410,1358394245
"notre dame’s manti te’o embroiled in girlfriend hoax",121,1358394245
"on thursday",116,1358394245
"guilford county schools",102,1358394245
"after-school activities",102,1358394245
"robert pattinson",373,1358394245
"el goyang hi fc",159,1358394245
"the london free press",272,1358394245
"by 2030",480,1358394245
"ser homosexual",115,1358394245
"deal on the filibuster",297,1358394245
"madera co",123,1358394245
"life in prison for",123,1358394245
"perú y",209,1358394245
"rush the court",438,1358394245
"maryland fans",438,1358394245
"work week",87,1358394245
"gun control",358,1358394245
"balones de oro",197,1358394245
"su suerte",146,1358394245
"a blackberry 10",146,1358394245
"tendrá que hacer fuerza en",204,1358394245
"de las",372,1358394245
"chief of staff",481,1358394245
"「iphone 5は予想ほど売れていない」は本当か",206,1358394245
"the move",116,1358394245
"i'm not sure what most people would do differently",109,1358394245
"short of asking to see a death certificate",109,1358394245
"rick perry responds to obama’s executive actions",295,1358394245
"evitar su liquidación",146,1358394245
"an incredible tragedy",175,1358394245
"herald sun",386,1358394245
"expected to name",423,1358394245
"coco rocha",118,1358394245
"a jehovah’s witness",118,1358394245
"arizona cardinals",2371,1358394545
"reagan mauia",2346,1358394545
"was real",2124,1358394545
"met her",2124,1358394545
"manti te'o",1769,1358394545
"notre dame",848,1358394545
"10 things you never knew about mega man",298,1358394545
"have a complicated relationship with sleep",657,1358394545
"or tech",657,1358394545
